classifier,accuracy,precision,sensitivity,specificity,f1_score,balanced_accuracy,mcc,feature_set
knn,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.9861111111111112,0.974320987654321,0.9761904761904763,0.9591605129565426,ehoa
logistic_regression,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.9861111111111112,0.974320987654321,0.9761904761904763,0.9591605129565426,ehoa
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ehoa
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ehoa
knn,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9732905982905984,0.9451526251526251,0.9523809523809524,0.9196796483051292,all_features
logistic_regression,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9848484848484849,0.9709618874773139,0.9666666666666667,0.958888466336381,all_features
svm,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9848484848484849,0.9709618874773139,0.9666666666666667,0.958888466336381,all_features
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,all_features
