iteration,fitness,cv_accuracy,selected_features,population_diversity
1,0.037304029304029415,0.9670329670329669,14,2.354235383127946
2,0.037304029304029415,0.9670329670329669,14,3.128070522288594
3,0.037304029304029415,0.9670329670329669,14,3.2768076319788304
4,0.037304029304029415,0.9670329670329669,14,3.071418695841644
5,0.037304029304029415,0.9670329670329669,14,2.6681216123677673
6,0.03579487179487191,0.9692307692307691,16,2.040466718989577
7,0.03328571428571419,0.9714285714285715,15,2.1373464472995267
8,0.03328571428571419,0.9714285714285715,15,1.8680136740263757
