iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.04198901098901086,0.9626373626373628,15,2.1312844075344404,breast_cancer,EHOA,123
2,0.04198901098901086,0.9626373626373628,15,4.256380086145287,breast_cancer,EHOA,123
3,0.04198901098901086,0.9626373626373628,15,3.134549082818256,breast_cancer,EHOA,123
4,0.03914652014652002,0.964835164835165,13,2.510195086377201,breast_cancer,EHOA,123
5,0.03914652014652002,0.964835164835165,13,3.1113234727051733,breast_cancer,EHOA,123
6,0.034128205128205025,0.9692307692307693,11,3.1198389986648913,breast_cancer,EHOA,123
7,0.03010989010989002,0.9736263736263737,12,2.1858977259035783,breast_cancer,EHOA,123
8,0.03010989010989002,0.9736263736263737,12,1.5841239954152142,breast_cancer,EHOA,123
9,0.03010989010989002,0.9736263736263737,12,1.384200317595761,breast_cancer,EHOA,123
10,0.03010989010989002,0.9736263736263737,12,1.2258612672922071,breast_cancer,EHOA,123
11,0.03010989010989002,0.9736263736263737,12,0.5992994468141916,breast_cancer,EHOA,123
12,0.03010989010989002,0.9736263736263737,12,0.9082172932165301,breast_cancer,EHOA,123
13,0.03010989010989002,0.9736263736263737,12,0.7079811907378649,breast_cancer,EHOA,123
14,0.03010989010989002,0.9736263736263737,12,0.6895621548216724,breast_cancer,EHOA,123
15,0.03010989010989002,0.9736263736263737,12,0.5338468860847091,breast_cancer,EHOA,123
16,0.03010989010989002,0.9736263736263737,12,0.38819779073064503,breast_cancer,EHOA,123
