iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.039241000378931405,0.062026430466085636,0.9650246305418719,6,0.46978021978021983,0.3912774725274725,0.05730188179167783,2.8,0.85,0,wine,SF-EHOA,130363
2,0.039241000378931405,0.048950383668056076,0.9650246305418719,6,0.24450549450549455,0.6518849206349208,0.5019639494215766,2.6,0.8,1,wine,SF-EHOA,130363
3,0.039241000378931405,0.0470254120879121,0.9650246305418719,6,0.3626373626373627,0.43839285714285714,0.2649389590918828,2.4183623055034493,0.7519127401566092,2,wine,SF-EHOA,130363
4,0.039241000378931405,0.04604532967032968,0.9650246305418719,6,0.36813186813186816,0.46210188620902903,0.2637362637362637,2.3029007518339615,0.7252426881558315,3,wine,SF-EHOA,130363
5,0.039241000378931405,0.04496909340659343,0.9650246305418719,6,0.29120879120879123,0.5793135435992579,0.4141156462585035,2.2036176219362673,0.6941422498303267,4,wine,SF-EHOA,130363
6,0.03496494884425913,0.0442727595680182,0.9716748768472907,9,0.30769230769230776,0.5448541537827253,0.3846153846153847,2.0339212370036366,0.651531184086761,0,wine,SF-EHOA,130363
7,0.03342648730579759,0.041023304281924966,0.9716748768472907,7,0.33241758241758246,0.560602195423624,0.32289480764057044,1.7594320781156507,0.5917767576080419,0,wine,SF-EHOA,130363
8,0.03342648730579759,0.03820969117089806,0.9716748768472907,7,0.2802197802197802,0.6044488249845392,0.43199828657100037,1.540082646962664,0.5388109873584565,1,wine,SF-EHOA,130363
9,0.03241341417203495,0.03700210780598711,0.9719211822660098,6,0.24175824175824176,0.6451878478664194,0.5136054421768708,1.3528597805344829,0.4908260055653013,0,wine,SF-EHOA,130363
10,0.03241341417203495,0.035138096816976126,0.9719211822660098,6,0.15659340659340665,0.7603741496598639,0.6838905775075987,1.1764298902672414,0.44541300278265067,1,wine,SF-EHOA,130363
