iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,guidance_credit,active_guidance_fraction,dataset,method,seed,fold
1,0.05166516685414325,0.0555112110986127,0.9525267674873974,14,0.48666666666666664,0.38432105334279243,0.018113342898134932,2.5,0.775,0,baseline,1.0,0.0,breast_cancer,ECG-EHOA,435889,outer_1
2,0.05137307836520439,0.054146756655418106,0.9524851060284131,13,0.14666666666666667,0.7422796574770258,0.7058299162060973,2.0,0.65,0,baseline,1.0,0.0,breast_cancer,ECG-EHOA,435889,outer_1
3,0.05097787776527939,0.05360232470941136,0.9525475982168895,12,0.12000000000000002,0.7541163003663004,0.7513354208878247,1.5,0.525,0,baseline,1.0,0.0,breast_cancer,ECG-EHOA,435889,outer_1
4,0.05097787776527939,0.05360232470941136,0.9525475982168895,12,0.14,0.7332985886662358,0.7149321266968325,1.0,0.4,1,baseline,0.85,0.0,breast_cancer,ECG-EHOA,435889,outer_1
