iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.06419230769230781,0.9405982905982905,7,1.8294399557481367,2,wine,M-EHOA,447214,outer_1
2,0.06419230769230781,0.9405982905982905,7,2.474708399500654,2,wine,M-EHOA,447214,outer_1
3,0.0629999999999999,0.9410256410256411,6,2.7641716760521273,2,wine,M-EHOA,447214,outer_1
4,0.06223076923076913,0.9410256410256411,5,1.5611383407185444,2,wine,M-EHOA,447214,outer_1
