iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,portfolio_strategy,dataset,method,seed,fold
1,0.033352455943007016,0.04161852268466435,0.9710244552764239,14,0.5199999999999999,0.34405594405594403,-0.044642857142857206,2.5,0.775,0,baseline,interaction,breast_cancer,P-EHOA,447214,outer_3
2,0.033352455943007016,0.03900232470941128,0.9710244552764239,14,0.2733333333333333,0.587776528821084,0.45294431595801443,2.0,0.65,1,baseline,interaction,breast_cancer,P-EHOA,447214,outer_3
3,0.030712785901762185,0.03378485189351321,0.9736907886514187,14,0.14,0.7399638188608778,0.7175394548063128,1.5,0.525,0,baseline,interaction,breast_cancer,P-EHOA,447214,outer_3
4,0.030379452568428854,0.031439445069366245,0.9736907886514187,13,0.08666666666666667,0.8370098039215688,0.8261722232126939,1.0,0.4,0,baseline,interaction,breast_cancer,P-EHOA,447214,outer_3
