iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.038637362637362525,0.04610805860805866,0.9670329670329672,18,0.4952380952380952,0.3583618083483236,0.007041413056450563,2.8,0.85,0,breast_cancer,DFA-EHOA,123
2,0.038637362637362525,0.04575274725274728,0.9670329670329672,18,0.26071428571428573,0.6118181004459199,0.47562180120319664,2.6,0.8,1,breast_cancer,DFA-EHOA,123
3,0.03579487179487169,0.04282463369963371,0.9692307692307693,16,0.42499999999999993,0.4434548582705659,0.1451917033312382,2.315957196731615,0.7412455413262099,0,breast_cancer,DFA-EHOA,123
4,0.031109890109890022,0.03857600732600727,0.9736263736263737,15,0.38452380952380955,0.44257440338315485,0.23089897115871139,2.21420028535229,0.7156479623661143,0,breast_cancer,DFA-EHOA,123
5,0.02960073260073252,0.03522893772893768,0.9758241758241759,17,0.2785714285714286,0.6052106863479044,0.43516916763889457,2.109717851685967,0.6831511948092849,0,breast_cancer,DFA-EHOA,123
6,0.02960073260073252,0.034454670329670256,0.9758241758241759,17,0.25357142857142856,0.6342692735509016,0.4868345764277181,1.9526201494006379,0.6412646562320945,1,breast_cancer,DFA-EHOA,123
7,0.02960073260073252,0.033472069597069526,0.9758241758241759,17,0.21428571428571427,0.6955007636158965,0.5615637559371576,1.7961712365563658,0.5987356346560546,2,breast_cancer,DFA-EHOA,123
8,0.02926739926739919,0.03265613553113544,0.9758241758241759,16,0.19642857142857142,0.6998030791263874,0.6038137924824667,1.6293123285820257,0.5549440155965707,0,breast_cancer,DFA-EHOA,123
9,0.02926739926739919,0.030982600732600646,0.9758241758241759,16,0.1630952380952381,0.7486691327248602,0.6699358543220535,1.4063110603644025,0.5007334444802416,1,breast_cancer,DFA-EHOA,123
10,0.02926739926739919,0.03089926739926731,0.9758241758241759,16,0.07261904761904761,0.8717612044817927,0.8542660043600745,1.219212753848617,0.45438102815672476,2,breast_cancer,DFA-EHOA,123
