iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed,fold
1,0.05258267716535418,0.9526100904053662,17,2.2885381811520085,breast_cancer,EHOA,509902,outer_3
2,0.05063029621297331,0.9552555930508687,19,0.646175445045947,breast_cancer,EHOA,509902,outer_3
3,0.05063029621297331,0.9552555930508687,19,1.3516565998208816,breast_cancer,EHOA,509902,outer_3
4,0.05063029621297331,0.9552555930508687,19,0.9501738585965857,breast_cancer,EHOA,509902,outer_3
