iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.045340659340659416,0.9582417582417582,12,1.7369954227395845,breast_cancer,EHOA,7919
2,0.045340659340659416,0.9582417582417582,12,2.5074760382429746,breast_cancer,EHOA,7919
3,0.045340659340659416,0.9582417582417582,12,2.314021135482728,breast_cancer,EHOA,7919
4,0.04383150183150192,0.9604395604395604,14,2.185949551052891,breast_cancer,EHOA,7919
5,0.04383150183150192,0.9604395604395604,14,2.561826749172566,breast_cancer,EHOA,7919
6,0.04383150183150192,0.9604395604395604,14,2.208336280160732,breast_cancer,EHOA,7919
7,0.04383150183150192,0.9604395604395604,14,2.1795506634831088,breast_cancer,EHOA,7919
8,0.04383150183150192,0.9604395604395604,14,2.064583204940766,breast_cancer,EHOA,7919
9,0.04198901098901086,0.9626373626373628,15,1.5669905713054912,breast_cancer,EHOA,7919
10,0.04198901098901086,0.9626373626373628,15,1.473373728836078,breast_cancer,EHOA,7919
