iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.036289967468339686,0.967047170907401,11,1.1319593254972786,breast_cancer,EHOA,2026
2,0.03478558150342756,0.9692401533635412,13,0.5254884082092796,breast_cancer,EHOA,2026
3,0.03478558150342756,0.9692401533635412,13,0.4900213573477416,breast_cancer,EHOA,2026
