iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed,fold
1,0.04230890901337635,0.9626509336565222,16,1.9789776083690291,breast_cancer,A-EHOA,424264,outer_2
2,0.03158466312056728,0.9724734042553193,13,1.511213228430531,breast_cancer,A-EHOA,424264,outer_2
3,0.03158466312056728,0.9724734042553193,13,1.5079727179581321,breast_cancer,A-EHOA,424264,outer_2
4,0.031277437382170856,0.9724470329473022,12,1.2509267603486405,breast_cancer,A-EHOA,424264,outer_2
