iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,portfolio_strategy,dataset,method,seed,fold
1,0.04524446944131967,0.05542099737532802,0.9603591217764448,18,0.49333333333333335,0.36545422693248775,0.010518809056872747,2.5,0.775,0,baseline,interaction,breast_cancer,P-EHOA,458258,outer_1
2,0.04524446944131967,0.051551481064866844,0.9603591217764448,18,0.2866666666666666,0.6105140321158627,0.4140624999999998,2.0,0.65,1,baseline,interaction,breast_cancer,P-EHOA,458258,outer_1
3,0.04524446944131967,0.049468616422947066,0.9603591217764448,18,0.14666666666666667,0.7911310390601007,0.6907796101949026,1.5,0.525,2,baseline,interaction,breast_cancer,P-EHOA,458258,outer_1
4,0.042625421822272136,0.04842099737532805,0.9630046244219473,18,0.1,0.8480033416875521,0.7916666666666666,1.0,0.4,0,baseline,interaction,breast_cancer,P-EHOA,458258,outer_1
