iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.04486989126359208,0.9604007832354289,17,2.2054195246710773,2,breast_cancer,M-EHOA,500000,outer_2
2,0.04486989126359208,0.9604007832354289,17,1.8835640506178015,2,breast_cancer,M-EHOA,500000,outer_2
3,0.04486989126359208,0.9604007832354289,17,1.8133851025917673,2,breast_cancer,M-EHOA,500000,outer_2
4,0.04486989126359208,0.9604007832354289,17,1.7408733571884807,2,breast_cancer,M-EHOA,500000,outer_2
