iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed,fold
1,0.033352455943007016,0.9710244552764239,14,2.5428985244223243,breast_cancer,EHOA,447214,outer_3
2,0.033352455943007016,0.9710244552764239,14,1.181537397443276,breast_cancer,EHOA,447214,outer_3
3,0.030712785901762185,0.9736907886514187,14,0.8874048558403648,breast_cancer,EHOA,447214,outer_3
4,0.030379452568428854,0.9736907886514187,13,0.618335101396333,breast_cancer,EHOA,447214,outer_3
