dataset,method,seed,selector_seed,fold,evaluation_protocol,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,classifier_seconds,peak_memory_mb,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,pr_auc,sensitivity,specificity,interaction_quality,jaccard_stability,nogueira_stability
breast_cancer,EHOA,316227,416230,outer_1,repeated_nested_cv,30,16,0.5333333333333333,0.03144131983502051,25,0.9762739999996484,0.36374030000024504,0.7882099151611328,0.4969068715255689,{},"[0, 1, 2, 3, 4, 5, 7, 10, 12, 16, 19, 20, 23, 24, 25, 27]",0.968421052631579,0.9605870517220974,0.9752066115702479,0.9327267201397125,0.9892886732157652,0.9882116644662954,0.9915966386554622,0.9295774647887324,-0.4727990821940624,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,316227,416230,outer_1,repeated_nested_cv,30,16,0.5333333333333333,0.03144131983502051,25,1.0251637000005758,0.3210819000000811,0.6705036163330078,0.4969068715255689,{},"[0, 1, 2, 3, 4, 5, 7, 10, 12, 16, 19, 20, 23, 24, 25, 27]",0.968421052631579,0.9605870517220974,0.9752066115702479,0.9327267201397125,0.9892886732157652,0.9882116644662954,0.9915966386554622,0.9295774647887324,-0.4727990821940624,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,316227,516233,outer_2,repeated_nested_cv,30,13,0.43333333333333335,0.04617622797150357,25,0.9484710000001542,0.29911300000003394,0.7145109176635742,0.39860947185475676,{},"[0, 3, 4, 6, 7, 9, 15, 16, 18, 20, 21, 24, 27]",0.968421052631579,0.9691087702686709,0.9745762711864406,0.9331508203704659,0.9915966386554622,0.9937356568106814,0.9663865546218487,0.971830985915493,-0.23869626817806602,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,316227,516233,outer_2,repeated_nested_cv,30,13,0.43333333333333335,0.04617622797150357,25,1.0297944999997526,0.3450760000000628,0.8052949905395508,0.39860947185475676,{},"[0, 3, 4, 6, 7, 9, 15, 16, 18, 20, 21, 24, 27]",0.968421052631579,0.9691087702686709,0.9745762711864406,0.9331508203704659,0.9915966386554622,0.9937356568106814,0.9663865546218487,0.971830985915493,-0.23869626817806602,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,316227,616236,outer_3,repeated_nested_cv,30,13,0.43333333333333335,0.03823659542557168,22,0.7807830000001559,0.331068100000266,0.6712331771850586,0.4152205056574181,{},"[0, 1, 3, 5, 7, 9, 16, 18, 20, 21, 24, 26, 27]",0.9629629629629629,0.9647058823529412,0.9702127659574468,0.9218075091290715,0.9796518607442977,0.9778726335423428,0.957983193277311,0.9714285714285714,-0.3495290520676144,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,316227,616236,outer_3,repeated_nested_cv,30,13,0.43333333333333335,0.03823659542557168,22,1.086517100000492,0.37559090000013384,0.6885709762573242,0.4152205056574181,{},"[0, 1, 3, 5, 7, 9, 16, 18, 20, 21, 24, 26, 27]",0.9629629629629629,0.9647058823529412,0.9702127659574468,0.9218075091290715,0.9796518607442977,0.9778726335423428,0.957983193277311,0.9714285714285714,-0.3495290520676144,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,331662,431665,outer_1,repeated_nested_cv,30,13,0.43333333333333335,0.040917510311211096,25,0.9934955000003356,0.34870749999981854,0.7030658721923828,0.48907080470353564,{},"[0, 2, 4, 6, 7, 10, 12, 16, 21, 23, 24, 25, 27]",0.9789473684210527,0.9831932773109244,0.9829059829059829,0.9564757907941791,0.9989939637826961,0.9989889705882353,0.9663865546218487,1.0,-0.3559219375033625,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,331662,431665,outer_1,repeated_nested_cv,30,13,0.43333333333333335,0.040917510311211096,25,0.9517516000000796,0.29620520000025863,0.8778400421142578,0.48907080470353564,{},"[0, 2, 4, 6, 7, 10, 12, 16, 21, 23, 24, 25, 27]",0.9789473684210527,0.9831932773109244,0.9829059829059829,0.9564757907941791,0.9989939637826961,0.9989889705882353,0.9663865546218487,1.0,-0.3559219375033625,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,331662,531668,outer_2,repeated_nested_cv,30,11,0.36666666666666664,0.03499212598425207,23,0.814984899999672,0.31975359999978537,0.8497581481933594,0.397035857558965,{},"[3, 5, 7, 8, 9, 15, 18, 20, 21, 24, 27]",0.9526315789473684,0.9508225825541484,0.9620253164556962,0.8991477490636924,0.9809444904722453,0.9827580122096267,0.957983193277311,0.9436619718309859,-0.2812515890208519,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,331662,531668,outer_2,repeated_nested_cv,30,11,0.36666666666666664,0.03499212598425207,23,0.796513700000105,0.3938215000002856,0.8317975997924805,0.397035857558965,{},"[3, 5, 7, 8, 9, 15, 18, 20, 21, 24, 27]",0.9526315789473684,0.9508225825541484,0.9620253164556962,0.8991477490636924,0.9809444904722453,0.9827580122096267,0.957983193277311,0.9436619718309859,-0.2812515890208519,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,331662,631671,outer_3,repeated_nested_cv,30,16,0.5333333333333333,0.033936632920884835,25,0.7324977999996918,0.2945875000000342,0.6106986999511719,0.44902024589333145,{},"[0, 1, 2, 3, 4, 5, 6, 15, 16, 18, 20, 22, 24, 26, 27, 29]",0.9576719576719577,0.9546218487394957,0.9663865546218487,0.9092436974789916,0.9746098439375751,0.9746204782566621,0.9663865546218487,0.9428571428571428,-0.41468044373792173,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,331662,631671,outer_3,repeated_nested_cv,30,16,0.5333333333333333,0.033936632920884835,25,0.7459804999998596,0.2817598999999973,0.6584453582763672,0.44902024589333145,{},"[0, 1, 2, 3, 4, 5, 6, 15, 16, 18, 20, 22, 24, 26, 27, 29]",0.9576719576719577,0.9546218487394957,0.9663865546218487,0.9092436974789916,0.9746098439375751,0.9746204782566621,0.9663865546218487,0.9428571428571428,-0.41468044373792173,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,346410,446413,outer_1,repeated_nested_cv,30,12,0.4,0.032685789276340346,24,0.924444300000232,0.28023410000014337,0.8059616088867188,0.37548356742580413,{},"[1, 3, 6, 7, 11, 13, 16, 19, 20, 26, 28, 29]",0.9473684210526315,0.9466209018818794,0.9576271186440678,0.8884179691353484,0.9763285595928513,0.9753008452070108,0.9495798319327731,0.9436619718309859,-0.11199186979094021,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,346410,446413,outer_1,repeated_nested_cv,30,12,0.4,0.032685789276340346,24,0.8774230999997599,0.25227910000012344,0.889923095703125,0.37548356742580413,{},"[1, 3, 6, 7, 11, 13, 16, 19, 20, 26, 28, 29]",0.9473684210526315,0.9466209018818794,0.9576271186440678,0.8884179691353484,0.9763285595928513,0.9753008452070108,0.9495798319327731,0.9436619718309859,-0.11199186979094021,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,346410,546416,outer_2,repeated_nested_cv,30,12,0.4,0.04582227221597306,25,1.127063299999918,0.3550628999996661,0.9409551620483398,0.42315782900193394,{},"[1, 3, 7, 11, 12, 13, 15, 16, 20, 26, 27, 28]",0.968421052631579,0.9605870517220974,0.9752066115702479,0.9327267201397125,0.9956799621256954,0.9960457812110476,0.9915966386554622,0.9295774647887324,-0.25742702803826106,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,346410,546416,outer_2,repeated_nested_cv,30,12,0.4,0.04582227221597306,25,1.1840971999995418,0.39008179999973436,1.0270166397094727,0.42315782900193394,{},"[1, 3, 7, 11, 12, 13, 15, 16, 20, 26, 27, 28]",0.968421052631579,0.9605870517220974,0.9752066115702479,0.9327267201397125,0.9956799621256954,0.9960457812110476,0.9915966386554622,0.9295774647887324,-0.25742702803826106,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,346410,646419,outer_3,repeated_nested_cv,30,17,0.5666666666666667,0.03173340832395948,25,0.961352899999838,0.3445544000001064,0.8537178039550781,0.4619411772469104,{},"[0, 2, 3, 4, 5, 7, 9, 10, 16, 17, 20, 21, 23, 24, 25, 27, 29]",0.9470899470899471,0.946218487394958,0.9576271186440678,0.8874438354543757,0.985594237695078,0.9851988345919563,0.9495798319327731,0.9428571428571428,-0.4270173317839443,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,346410,646419,outer_3,repeated_nested_cv,30,17,0.5666666666666667,0.03173340832395948,25,1.0092095999998492,0.3141715000001568,0.8243312835693359,0.4619411772469104,{},"[0, 2, 3, 4, 5, 7, 9, 10, 16, 17, 20, 21, 23, 24, 25, 27, 29]",0.9470899470899471,0.946218487394958,0.9576271186440678,0.8874438354543757,0.985594237695078,0.9851988345919563,0.9495798319327731,0.9428571428571428,-0.4270173317839443,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,360555,460558,outer_1,repeated_nested_cv,30,16,0.5333333333333333,0.04453655793025874,25,0.8509109999999964,0.4288870999998835,0.6573047637939453,0.411339823091179,{},"[0, 1, 3, 5, 6, 7, 9, 15, 16, 18, 19, 20, 21, 23, 24, 27]",0.9526315789473684,0.9508225825541484,0.9620253164556962,0.8991477490636924,0.9867439933719966,0.9862801904862359,0.957983193277311,0.9436619718309859,-0.3785993866306756,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,360555,460558,outer_1,repeated_nested_cv,30,30,1.0,0.05334582884459994,25,1.1255584999998973,0.4248987000000852,0.832036018371582,0.39902817482485725,{},"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.9526315789473684,0.9451414368564327,0.9626556016597511,0.8984549429340701,0.9768019884009943,0.9760191920040614,0.9747899159663865,0.9154929577464789,-0.436343244111267,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,360555,560561,outer_2,repeated_nested_cv,30,17,0.5666666666666667,0.03439370078740161,24,1.1417120999999497,0.29802490000020043,0.6936264038085938,0.4289016930717001,{},"[1, 2, 3, 6, 7, 10, 12, 13, 15, 16, 18, 20, 24, 25, 27, 28, 29]",0.9631578947368421,0.9563853710498283,0.970954356846473,0.9211492315750531,0.9903538880340869,0.9893156268353954,0.9831932773109243,0.9295774647887324,-0.35173637070072195,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,360555,560561,outer_2,repeated_nested_cv,30,30,1.0,0.047642152572044204,24,0.8643476000006558,0.278973799999676,0.7297449111938477,0.39448995968322575,{},"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.9736842105263158,0.9704698780920819,0.9790794979079498,0.9436801731761278,0.9903538880340867,0.9891424881646018,0.9831932773109243,0.9577464788732394,-0.41214360563443947,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,360555,660564,outer_3,repeated_nested_cv,30,19,0.6333333333333333,0.04019535058117731,25,0.9198442000001705,0.4560876999998982,0.6967124938964844,0.36493584268928314,{},"[0, 1, 2, 4, 7, 9, 10, 11, 12, 13, 14, 19, 20, 22, 24, 25, 26, 28, 29]",0.9682539682539683,0.9689075630252101,0.9745762711864406,0.9325680982740896,0.9885354141656663,0.9876311037235407,0.9663865546218487,0.9714285714285714,-0.2613660264527304,0.3720576815215586,0.09141738887335749
breast_cancer,G-EHOA,360555,660564,outer_3,repeated_nested_cv,30,19,0.6333333333333333,0.04019535058117731,25,1.9677052000001822,0.761410000000069,0.6844091415405273,0.36493584268928314,{},"[0, 1, 2, 4, 7, 9, 10, 11, 12, 13, 14, 19, 20, 22, 24, 25, 26, 28, 29]",0.9682539682539683,0.9689075630252101,0.9745762711864406,0.9325680982740896,0.9885354141656663,0.9876311037235407,0.9663865546218487,0.9714285714285714,-0.2613660264527304,0.3887297719896609,0.040530846484935434
breast_cancer,EHOA,374165,474168,outer_1,repeated_nested_cv,30,16,0.5333333333333333,0.049712785901762264,25,0.9472577999999885,0.4799438000000009,0.6226167678833008,0.37466613966863904,{},"[0, 1, 2, 6, 10, 13, 14, 16, 17, 18, 21, 22, 24, 26, 27, 29]",0.9526315789473684,0.9508225825541484,0.9620253164556962,0.8991477490636924,0.9849094567404426,0.9844427790944565,0.957983193277311,0.9436619718309859,-0.2140299332592781,0.3720576815215586,0.09141738887335749
