iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,guidance_credit,active_guidance_fraction,dataset,method,seed,fold
1,0.04183502062242214,0.04897600299962498,0.9631296087989002,16,0.47333333333333333,0.3688296486122573,0.05265966909802522,2.5,0.775,0,baseline,0.85,0.0,breast_cancer,ECG-EHOA,412310,outer_3
2,0.04183502062242214,0.048389651293588264,0.9631296087989002,16,0.22000000000000003,0.6046363552168506,0.5535714285714287,2.0,0.65,1,baseline,0.7224999999999999,0.0,breast_cancer,ECG-EHOA,412310,outer_3
3,0.04183502062242214,0.04650551181102355,0.9631296087989002,16,0.24666666666666667,0.6080681818181819,0.5034889962426194,1.5,0.525,2,baseline,0.6141249999999999,0.0,breast_cancer,ECG-EHOA,412310,outer_3
4,0.04183502062242214,0.0462972628421447,0.9631296087989002,16,0.26,0.5453457172342622,0.47240259740259727,1.0,0.4,3,baseline,0.5220062499999999,0.0,breast_cancer,ECG-EHOA,412310,outer_3
