iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.04263207273149759,0.9626612059951203,17,0.5266666666666666,0.3283484848484849,-0.05502136752136755,2.5,0.775,0,breast_cancer,DFA-EHOA[eta_stability=0.55],2026
2,0.04017082026257695,0.9648106192633903,16,0.22666666666666666,0.6374482019528458,0.5463440668920121,2.0,0.65,0,breast_cancer,DFA-EHOA[eta_stability=0.55],2026
3,0.037637678633670284,0.9670326478447775,15,0.18666666666666665,0.6974720502235983,0.62640099626401,1.9962191780821916,0.607703196347032,0,breast_cancer,DFA-EHOA[eta_stability=0.55],2026
4,0.037637678633670284,0.9670326478447775,15,0.21333333333333332,0.6817775499354447,0.5684229455133968,1.674126612358245,0.5478558540028033,1,breast_cancer,DFA-EHOA[eta_stability=0.55],2026
