iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.037304029304029415,0.9670329670329669,14,0.5130952380952382,0.3200443016931248,-0.026261744367168216,2.75,0.8375,0,breast_cancer,SF-EHOA,42
2,0.037304029304029415,0.9670329670329669,14,0.21904761904761907,0.6288804556910484,0.5599489795918366,2.5,0.775,1,breast_cancer,SF-EHOA,42
3,0.037304029304029415,0.9670329670329669,14,0.2773809523809524,0.5935954263475031,0.445199567430278,3.0,0.7983069426117555,2,breast_cancer,SF-EHOA,42
4,0.037304029304029415,0.9670329670329669,14,0.330952380952381,0.4902589355553609,0.33643632891753195,2.9198663324979113,0.7766367628681167,3,breast_cancer,SF-EHOA,42
5,0.037304029304029415,0.9670329670329669,14,0.23928571428571432,0.5761168924384867,0.5116272006641223,2.7332473360455682,0.7389704056907173,4,breast_cancer,SF-EHOA,42
6,0.037304029304029415,0.9670329670329669,14,0.2916666666666667,0.5751001641902167,0.4146749355445615,2.512771497442337,0.6980098410819507,5,breast_cancer,SF-EHOA,42
7,0.03697069597069608,0.9670329670329669,13,0.2023809523809524,0.6289293787690516,0.5896528140966327,2.2330539575422916,0.6505885623052001,0,breast_cancer,SF-EHOA,42
8,0.03479487179487191,0.9692307692307691,13,0.2964285714285714,0.5558258809903547,0.40710168364866606,1.760998469846915,0.5614121539215424,0,breast_cancer,SF-EHOA,42
