iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.04516197975253094,0.04921499812523439,0.9604424446944132,18,0.5,0.3298673577884104,-0.0001778093883357812,2.5,0.775,0,baseline,breast_cancer,DFA-EHOA,387298,outer_2
2,0.04516197975253094,0.04685721784776905,0.9604424446944132,18,0.28,0.6244441390036355,0.41666666666666663,2.0,0.65,1,baseline,breast_cancer,DFA-EHOA,387298,outer_2
3,0.04516197975253094,0.04609276340457445,0.9604424446944132,18,0.3866666666666667,0.48161876529267833,0.21776658874303167,1.3302620796619313,0.4967103466103219,2,consolidate,breast_cancer,DFA-EHOA,387298,outer_2
4,0.04516197975253094,0.04602197225346836,0.9604424446944132,18,0.26666666666666666,0.6243581285228883,0.4549418604651163,1.1651310398309658,0.44835517330516095,3,explore,breast_cancer,DFA-EHOA,387298,outer_2
