iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.08034615384615391,0.11253846153846156,0.9235042735042734,6,0.4615384615384615,0.40376262626262627,0.07495256166982933,2.5,0.775,0,baseline,wine,IG-EHOA,479583,outer_1
2,0.06671153846153838,0.09547692307692306,0.9403846153846155,10,0.26153846153846155,0.575595238095238,0.47580645161290325,2.0,0.65,0,baseline,wine,IG-EHOA,479583,outer_1
3,0.06671153846153838,0.08203846153846156,0.9403846153846155,10,0.5230769230769231,0.2893939393939394,-0.05238095238095264,1.5,0.525,1,baseline,wine,IG-EHOA,479583,outer_1
4,0.048249999999999967,0.06673846153846157,0.9574786324786325,8,0.21538461538461537,0.7214141414141413,0.5190274841437632,1.0,0.4,0,baseline,wine,IG-EHOA,479583,outer_1
