iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.039813186813186914,0.9648351648351647,15,0.49642857142857144,0.3107023142451628,0.003752849477886011,2.75,0.8375,0,breast_cancer,SF-EHOA,8675309
2,0.03579487179487169,0.9692307692307693,16,0.3166666666666667,0.5375576379917476,0.3650793650793651,2.5,0.775,0,breast_cancer,SF-EHOA,8675309
3,0.03295238095238086,0.9714285714285715,14,0.13571428571428573,0.7834155731670659,0.7278911564625851,2.792142857142857,0.7727380952380952,0,breast_cancer,SF-EHOA,8675309
4,0.03295238095238086,0.9714285714285715,14,0.17142857142857143,0.7217309890463363,0.6567614810106468,2.6476334816462734,0.7428143042534032,1,breast_cancer,SF-EHOA,8675309
5,0.03295238095238086,0.9714285714285715,14,0.18928571428571428,0.6717212981683903,0.6192870611475263,2.4766600783467068,0.7048490574872116,2,breast_cancer,SF-EHOA,8675309
6,0.03261904761904752,0.9714285714285715,13,0.12976190476190474,0.7698443412452701,0.7400248447204969,2.2576449460056516,0.6598103465489888,0,breast_cancer,SF-EHOA,8675309
7,0.03261904761904752,0.9714285714285715,13,0.12976190476190477,0.7752596433310167,0.74031388665535,1.903188334106492,0.5910283454952276,1,breast_cancer,SF-EHOA,8675309
8,0.03261904761904752,0.9714285714285715,13,0.08452380952380951,0.838938075230092,0.8303751854027096,1.5943737477030098,0.5312090679100548,2,breast_cancer,SF-EHOA,8675309
