iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.046385826771653586,0.051100112485939306,0.957859434237387,14,0.5066666666666666,0.33210890960890965,-0.013333333333333197,2.5,0.775,0,baseline,breast_cancer,DFA-EHOA,424264,outer_1
2,0.046385826771653586,0.04991503562054748,0.957859434237387,14,0.12666666666666668,0.7374908424908424,0.7375207220482594,2.0,0.65,1,baseline,breast_cancer,DFA-EHOA,424264,outer_1
3,0.043787401574803236,0.04907154105736788,0.9604841061533974,14,0.17333333333333334,0.7005677655677655,0.6502869440459109,1.5583085724533716,0.5347180954088953,0,explore,breast_cancer,DFA-EHOA,424264,outer_1
4,0.043787401574803236,0.04868106486689171,0.9604841061533974,14,0.22000000000000003,0.6075735294117647,0.5535714285714286,1.2791542862266858,0.46735904770444764,1,explore,breast_cancer,DFA-EHOA,424264,outer_1
