iteration,fitness,cv_accuracy,selected_features,population_diversity,guard_abstained,guard_subset_balanced_accuracy,guard_full_balanced_accuracy,dataset,method,seed,fold
1,0.038277840269966265,0.9657126192559263,13,2.042606682550871,False,0.964628781757788,0.9590257204416913,breast_cancer,G-EHOA,400000,outer_1
2,0.038277840269966265,0.9657126192559263,13,2.3242428422794505,False,0.964628781757788,0.9590257204416913,breast_cancer,G-EHOA,400000,outer_1
3,0.038277840269966265,0.9657126192559263,13,1.8798533869120864,False,0.964628781757788,0.9590257204416913,breast_cancer,G-EHOA,400000,outer_1
4,0.03636670416197966,0.9683164604424448,15,1.5156910923616047,False,0.964628781757788,0.9590257204416913,breast_cancer,G-EHOA,400000,outer_1
