iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,guidance_credit,active_guidance_fraction,dataset,method,seed,fold
1,0.06411538461538452,0.08160769230769235,0.9414529914529915,8,0.5076923076923078,0.32303030303030306,-0.015625000000000222,2.5,0.775,0,baseline,0.85,0.0,wine,ECG-EHOA,412310,outer_2
2,0.055653846153846095,0.07811153846153847,0.9500000000000001,8,0.2,0.6762698412698412,0.599905303030303,2.0,0.65,0,baseline,0.88,0.0,wine,ECG-EHOA,412310,outer_2
3,0.055653846153846095,0.06049230769230766,0.9500000000000001,8,0.24615384615384617,0.618531746031746,0.5075757575757576,1.5,0.525,1,baseline,0.748,0.0,wine,ECG-EHOA,412310,outer_2
4,0.055653846153846095,0.06049230769230766,0.9500000000000001,8,0.13846153846153847,0.7875,0.7176640926640927,1.0,0.4,2,baseline,0.6358,0.0,wine,ECG-EHOA,412310,outer_2
