iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,guidance_credit,active_guidance_fraction,dataset,method,seed,fold
1,0.07201923076923064,0.10050384615384611,0.9326923076923078,7,0.4769230769230769,0.3454761904761905,0.04411764705882326,2.5,0.775,0,baseline,0.85,0.0,wine,ECG-EHOA,400000,outer_2
2,0.07201923076923064,0.10050384615384611,0.9326923076923078,7,0.24615384615384617,0.6280555555555556,0.5047619047619049,2.0,0.65,1,baseline,0.7224999999999999,0.0,wine,ECG-EHOA,400000,outer_2
3,0.07026923076923086,0.0787307692307692,0.9329059829059828,5,0.27692307692307694,0.5513888888888888,0.44285714285714295,1.5,0.525,0,baseline,0.7779999999999999,0.0,wine,ECG-EHOA,400000,outer_2
4,0.07026923076923086,0.07838076923076927,0.9329059829059828,5,0.27692307692307694,0.5783730158730158,0.4460227272727274,1.0,0.4,1,baseline,0.6612999999999999,0.0,wine,ECG-EHOA,400000,outer_2
