iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.04051853142790756,0.9647960962007668,17,0.4999999999999999,0.3768531975271106,-0.0115087214529761,2.5,0.775,0,breast_cancer,DFA-EHOA[eta_stability=0.15],123
2,0.04051853142790756,0.9647960962007668,17,0.28,0.5669094974512932,0.43999999999999995,2.0,0.65,1,breast_cancer,DFA-EHOA[eta_stability=0.15],123
3,0.03921395375856865,0.9647670500755199,13,0.17333333333333334,0.7204936360509115,0.6523444464253878,1.864222499554288,0.5857037499257146,0,breast_cancer,DFA-EHOA[eta_stability=0.15],123
4,0.03921395375856865,0.9647670500755199,13,0.31999999999999995,0.5153360227663634,0.35988620199146504,1.516119784627784,0.5138540086755173,1,breast_cancer,DFA-EHOA[eta_stability=0.15],123
