iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.01903978779840841,0.9862068965517242,7,0.5109890109890111,0.32110389610389617,-0.023492063492063453,2.75,0.8375,0,wine,SF-EHOA,2026
2,0.01903978779840841,0.9862068965517242,7,0.217032967032967,0.6789450628736343,0.565773479203002,2.5,0.775,1,wine,SF-EHOA,2026
3,0.01903978779840841,0.9862068965517242,7,0.15659340659340665,0.758545918367347,0.686697320437609,2.9407917942213166,0.7892546438023685,2,wine,SF-EHOA,2026
4,0.01903978779840841,0.9862068965517242,7,0.2087912087912088,0.6722222222222224,0.5824175824175825,2.8530332597480212,0.7674569922308546,3,wine,SF-EHOA,2026
5,0.01903978779840841,0.9862068965517242,7,0.14560439560439561,0.7533304988662132,0.7086834733893557,2.6722707776869816,0.7304433743744232,4,wine,SF-EHOA,2026
6,0.01903978779840841,0.9862068965517242,7,0.20054945054945056,0.7027069160997733,0.5951581080360475,2.4622415503191935,0.690406047433162,5,wine,SF-EHOA,2026
7,0.01903978779840841,0.9862068965517242,7,0.15384615384615383,0.7405045351473923,0.6904761904761905,2.1978675700313914,0.6448023826909399,6,wine,SF-EHOA,2026
8,0.01903978779840841,0.9862068965517242,7,0.22252747252747257,0.6739435168006597,0.5507918733002719,1.8830397126826535,0.5934276732622095,7,wine,SF-EHOA,2026
