iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.03546153846153858,0.04487545787545793,0.9692307692307691,15,0.49166666666666664,0.3599425924891763,0.014956521739130313,2.8,0.85,0,breast_cancer,DFA-EHOA,262147
2,0.03546153846153858,0.04085714285714296,0.9692307692307691,15,0.2761904761904762,0.540438324452588,0.4399967815906989,2.6,0.8,1,breast_cancer,DFA-EHOA,262147
3,0.03546153846153858,0.039036630036630146,0.9692307692307691,15,0.3011904761904761,0.5878239204634077,0.39046548279912063,2.5139337088190623,0.7618680946686524,2,breast_cancer,DFA-EHOA,262147
4,0.03177655677655669,0.03727976190476197,0.9736263736263737,17,0.22261904761904763,0.6693780102013763,0.5509889648134624,2.467881405855854,0.7435379736350447,0,breast_cancer,DFA-EHOA,262147
5,0.03177655677655669,0.03623351648351657,0.9736263736263737,17,0.20595238095238091,0.7063925292877229,0.5796592324124037,2.2741303626448364,0.701792694282136,1,breast_cancer,DFA-EHOA,262147
6,0.03177655677655669,0.036191849816849905,0.9736263736263737,17,0.14761904761904762,0.7593572077953988,0.7040219596610574,2.1085375459073497,0.6608230644445308,2,breast_cancer,DFA-EHOA,262147
7,0.03177655677655669,0.0355645604395605,0.9736263736263737,17,0.16904761904761909,0.7515771816493048,0.6522448979591837,1.9179162831577563,0.6153564556916531,3,breast_cancer,DFA-EHOA,262147
8,0.03177655677655669,0.03552289377289383,0.9736263736263737,17,0.15833333333333335,0.750870364094601,0.6815420071234025,1.7281161763578432,0.5700278769134989,4,breast_cancer,DFA-EHOA,262147
9,0.03177655677655669,0.03516758241758246,0.9736263736263737,17,0.09880952380952382,0.8392276647501105,0.799244142101285,1.5551203184996214,0.5289852364402285,5,breast_cancer,DFA-EHOA,262147
10,0.03177655677655669,0.0346652930402931,0.9736263736263737,17,0.11547619047619048,0.8092510688485922,0.7677411630900003,1.3560319066854285,0.48411055507901873,6,breast_cancer,DFA-EHOA,262147
