iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.035706411698537756,0.9710036245469316,21,2.5689713404027748,2,breast_cancer,M-EHOA,509902,outer_2
2,0.030176227971503496,0.9762529683789527,20,3.4068763501807364,2,breast_cancer,M-EHOA,509902,outer_2
3,0.030176227971503496,0.9762529683789527,20,1.781022316463851,2,breast_cancer,M-EHOA,509902,outer_2
4,0.030176227971503496,0.9762529683789527,20,1.8462667676586115,2,breast_cancer,M-EHOA,509902,outer_2
