iteration,fitness,cv_accuracy,selected_features,population_diversity,portfolio_strategy,dataset,method,seed,fold
1,0.04603187101612285,0.9578802649668793,13,1.7956955110262942,baseline,breast_cancer,SP-EHOA,519615,outer_3
2,0.04603187101612285,0.9578802649668793,13,2.7173002385308185,baseline,breast_cancer,SP-EHOA,519615,outer_3
3,0.04603187101612285,0.9578802649668793,13,1.0812301042068992,baseline,breast_cancer,SP-EHOA,519615,outer_3
4,0.04603187101612285,0.9578802649668793,13,1.2581380099036794,baseline,breast_cancer,SP-EHOA,519615,outer_3
