iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.08132692307692292,0.09254230769230767,0.9232905982905985,7,0.49230769230769234,0.3325974025974026,0.013282732447817525,2.5,0.775,0,baseline,wine,IG-EHOA,435889,outer_1
2,0.05615384615384631,0.06941153846153857,0.9487179487179486,7,0.21538461538461542,0.6450396825396825,0.5691287878787878,2.0,0.65,0,baseline,wine,IG-EHOA,435889,outer_1
3,0.05615384615384631,0.06426538461538474,0.9487179487179486,7,0.13846153846153847,0.7682539682539683,0.7224857685009488,1.5,0.525,1,baseline,wine,IG-EHOA,435889,outer_1
4,0.05615384615384631,0.06103461538461552,0.9487179487179486,7,0.06153846153846154,0.8857142857142856,0.8768939393939394,1.0,0.4,2,baseline,wine,IG-EHOA,435889,outer_1
