iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.040479853479853584,0.9648351648351647,17,0.5059523809523809,0.3190034391709776,-0.012537597903451658,2.75,0.8375,0,breast_cancer,IG-EHOA,2026
2,0.040479853479853584,0.9648351648351647,17,0.17261904761904764,0.7572475443266552,0.6390977443609023,2.5,0.775,1,breast_cancer,IG-EHOA,2026
3,0.040479853479853584,0.9648351648351647,17,0.15119047619047615,0.7886012939604798,0.6814947177027493,2.25,0.7125,2,breast_cancer,IG-EHOA,2026
4,0.03797069597069608,0.9670329670329669,16,0.1797619047619048,0.7649520905160003,0.6147672552166934,2.0,0.65,0,breast_cancer,IG-EHOA,2026
5,0.03797069597069608,0.9670329670329669,16,0.18690476190476193,0.7234486371346264,0.6185346791257074,1.75,0.5875,1,breast_cancer,IG-EHOA,2026
6,0.03797069597069608,0.9670329670329669,16,0.14404761904761906,0.7817076511625384,0.7044966572710714,1.5,0.525,2,breast_cancer,IG-EHOA,2026
7,0.036970695970695855,0.9670329670329672,13,0.10833333333333335,0.8369600471767654,0.7750702905342081,1.25,0.4625,0,breast_cancer,IG-EHOA,2026
8,0.036970695970695855,0.9670329670329672,13,0.12976190476190477,0.7896479425103375,0.7382769901853872,1.0,0.4,1,breast_cancer,IG-EHOA,2026
