iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,portfolio_strategy,dataset,method,seed,fold
1,0.03376827896512931,0.04325654293213342,0.9709411323584553,15,0.4933333333333333,0.37910383095165706,0.004662840746054497,2.5,0.775,0,baseline,interaction,breast_cancer,P-EHOA,447214,outer_1
2,0.03376827896512931,0.03946066741657287,0.9709411323584553,15,0.2733333333333333,0.5766228070175439,0.45323613086770986,2.0,0.65,1,baseline,interaction,breast_cancer,P-EHOA,447214,outer_1
3,0.03376827896512931,0.038346381702287165,0.9709411323584553,15,0.4533333333333333,0.40337779706944465,0.09317211948790882,1.5,0.525,2,baseline,interaction,breast_cancer,P-EHOA,447214,outer_1
4,0.03376827896512931,0.038346381702287165,0.9709411323584553,15,0.36,0.5139725470607823,0.2694805194805192,1.0,0.4,3,baseline,interaction,breast_cancer,P-EHOA,447214,outer_1
