iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.06342307692307705,0.9405982905982905,6,1.8955659771827886,2,wine,M-EHOA,538516,outer_2
2,0.06342307692307705,0.9405982905982905,6,2.8061765428349434,2,wine,M-EHOA,538516,outer_2
3,0.06342307692307705,0.9405982905982905,6,1.7859546772859962,2,wine,M-EHOA,538516,outer_2
4,0.05586538461538456,0.9497863247863249,8,1.624843320399638,2,wine,M-EHOA,538516,outer_2
