iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,guidance_credit,active_guidance_fraction,dataset,method,seed,fold
1,0.06411538461538452,0.07667307692307697,0.9414529914529915,8,0.5076923076923077,0.3077777777777778,-0.0175521821631881,2.5,0.775,0,baseline,1.0,0.0,wine,ECG-EHOA,412310,outer_3
2,0.06411538461538452,0.07168076923076924,0.9414529914529915,8,0.2,0.6839285714285714,0.599905303030303,2.0,0.65,1,baseline,0.85,0.0,wine,ECG-EHOA,412310,outer_3
3,0.022865384615384562,0.05217307692307693,0.9831196581196582,8,0.29230769230769227,0.5841666666666667,0.4119047619047619,1.5,0.525,0,baseline,0.88,0.0,wine,ECG-EHOA,412310,outer_3
4,0.021115384615384564,0.035534615384615324,0.9833333333333334,6,0.2923076923076923,0.6116414141414142,0.39814814814814814,1.0,0.4,0,baseline,0.904,0.0,wine,ECG-EHOA,412310,outer_3
