iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.04781318681318667,0.07425123152709356,0.9571428571428573,7,0.4780219780219781,0.3863115059543631,0.03826530612244905,2.8,0.85,0,wine,SF-EHOA,7919
2,0.04001023114816218,0.05454933213338381,0.9650246305418719,7,0.31593406593406603,0.5167658730158731,0.3678981026372813,2.6,0.8,0,wine,SF-EHOA,7919
3,0.03265725653656682,0.04144751799924211,0.9716748768472907,6,0.3461538461538462,0.5496482683982684,0.3035714285714287,2.4121648351648353,0.7512671703296703,0,wine,SF-EHOA,7919
4,0.018758241758241714,0.03834544334975367,0.9857142857142858,6,0.17582417582417584,0.7344954648526077,0.6462585034013605,2.385942812289751,0.7347086300179412,0,wine,SF-EHOA,7919
5,0.012456043956043935,0.02953192497158011,0.9928571428571429,7,0.21703296703296707,0.6228032879818594,0.5618834319842159,2.228113266963628,0.6967470476113147,0,wine,SF-EHOA,7919
6,0.011686813186813166,0.014596580143993912,0.9928571428571429,6,0.13186813186813187,0.7738095238095238,0.7358730158730158,2.062409098159993,0.655089143899849,0,wine,SF-EHOA,7919
7,0.011686813186813166,0.01187912087912086,0.9928571428571429,6,0.10164835164835166,0.8112244897959184,0.7960243837794858,1.8672599752864434,0.6081782322946818,1,wine,SF-EHOA,7919
8,0.011686813186813166,0.011782967032967013,0.9928571428571429,6,0.0521978021978022,0.9056122448979592,0.895565773479203,1.6882214489011647,0.5638375913719735,2,wine,SF-EHOA,7919
9,0.011686813186813166,0.011782967032967013,0.9928571428571429,6,0.07142857142857142,0.8705357142857143,0.8569312169312169,1.498656846899562,0.5182825711961909,3,wine,SF-EHOA,7919
10,0.011686813186813166,0.011782967032967013,0.9928571428571429,6,0.03846153846153847,0.9285714285714286,0.9226190476190477,1.3107432586146162,0.47449499438930426,4,wine,SF-EHOA,7919
