iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,portfolio_strategy,dataset,method,seed,fold
1,0.037346081739782475,0.04434135733033369,0.9683372911719369,18,0.5333333333333334,0.3337460840286927,-0.0714285714285714,2.5,0.775,0,baseline,interaction,breast_cancer,P-EHOA,489898,outer_3
2,0.037346081739782475,0.04226801649793773,0.9683372911719369,18,0.26666666666666666,0.5930308614673938,0.4665718349928877,2.0,0.65,1,baseline,interaction,breast_cancer,P-EHOA,489898,outer_3
3,0.03699212598425185,0.03974038245219341,0.9683581219014291,17,0.21333333333333332,0.7055593529277739,0.552989383497858,1.5,0.525,0,baseline,interaction,breast_cancer,P-EHOA,489898,outer_3
4,0.03699212598425185,0.03974038245219341,0.9683581219014291,17,0.13999999999999999,0.7959611149084833,0.7098913243691287,1.0,0.4,1,baseline,interaction,breast_cancer,P-EHOA,489898,outer_3
