iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,guidance_credit,active_guidance_fraction,dataset,method,seed,fold
1,0.07167307692307702,0.09831538461538462,0.9322649572649572,6,0.5384615384615385,0.2552813852813852,-0.08955938697318055,2.5,0.775,0,baseline,0.85,0.0,wine,ECG-EHOA,387298,outer_1
2,0.07167307692307702,0.08174230769230773,0.9322649572649572,6,0.23076923076923078,0.5916666666666667,0.5248538011695905,2.0,0.65,1,baseline,0.7224999999999999,0.0,wine,ECG-EHOA,387298,outer_1
3,0.047480769230769194,0.06245769230769236,0.9574786324786325,7,0.36923076923076925,0.44793650793650797,0.2528735632183907,1.5,0.525,0,baseline,0.7779999999999999,0.0,wine,ECG-EHOA,387298,outer_1
4,0.047480769230769194,0.060611538461538515,0.9574786324786325,7,0.30769230769230776,0.5558333333333334,0.38330170777988615,1.0,0.4,1,baseline,0.6612999999999999,0.0,wine,ECG-EHOA,387298,outer_1
