dataset,method,seed,fold,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,sensitivity,specificity,total_features,jaccard_stability,nogueira_stability
breast_cancer,IG-EHOA,2026,holdout,13,0.4333333333333333,0.0347855815034275,15,0.3984630000195466,0.5023524623125156,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 5, 6, 7, 16, 19, 21, 22, 23, 25, 27, 28, 29]",0.956140350877193,0.9603174603174602,0.9645390070921984,0.9085472857180888,0.9444444444444444,0.9761904761904762,30.0,0.3933333333333333,0.06481939633844636
breast_cancer,DFA-EHOA,2026,holdout,13,0.4333333333333333,0.0347855815034275,15,0.34278920001816,0.5023524623125156,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 5, 6, 7, 16, 19, 21, 22, 23, 25, 27, 28, 29]",0.956140350877193,0.9603174603174602,0.9645390070921984,0.9085472857180888,0.9444444444444444,0.9761904761904762,30.0,0.35353535353535354,0.10403185664509695
wine,EHOA,42,holdout,7,0.5384615384615384,0.0540947217675941,16,0.3265827000141144,0.2746364225525368,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 4, 7, 9, 11, 12]",0.9722222222222222,0.9761904761904764,0.9717813051146384,0.9592607977258564,0.9761904761904764,0.9871794871794872,13.0,0.4545454545454546,0.07631578947368378
wine,SF-EHOA,42,holdout,7,0.5384615384615384,0.0540947217675941,16,0.2251426999573595,0.2746364225525368,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 4, 7, 9, 11, 12]",0.9722222222222222,0.9761904761904764,0.9717813051146384,0.9592607977258564,0.9761904761904764,0.9871794871794872,13.0,0.4545454545454546,0.07631578947368378
wine,IG-EHOA,42,holdout,6,0.4615384615384615,0.0255329378068739,14,0.2865742000285536,0.3107212956516727,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 6, 7, 9, 12]",0.9722222222222222,0.9666666666666668,0.970961887477314,0.958888466336381,0.9666666666666668,0.9848484848484848,13.0,0.4666666666666666,0.17460317460317454
wine,DFA-EHOA,42,holdout,6,0.4615384615384615,0.0255329378068739,13,0.1694852999644354,0.3107212956516727,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 6, 7, 9, 12]",0.9722222222222222,0.9666666666666668,0.970961887477314,0.958888466336381,0.9666666666666668,0.9848484848484848,13.0,0.4666666666666666,0.17460317460317454
wine,EHOA,123,holdout,6,0.4615384615384615,0.0531792144026187,12,0.1417917999788187,0.2877141884201597,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,13.0,0.4545454545454546,0.07631578947368378
wine,SF-EHOA,123,holdout,6,0.4615384615384615,0.0531792144026187,12,0.1548871000413783,0.2877141884201597,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,13.0,0.4545454545454546,0.07631578947368378
wine,IG-EHOA,123,holdout,6,0.4615384615384615,0.0531792144026187,12,0.1984682999900542,0.2877141884201597,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,13.0,0.4666666666666666,0.17460317460317454
wine,DFA-EHOA,123,holdout,6,0.4615384615384615,0.0531792144026187,12,0.2619514999678358,0.2877141884201597,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,13.0,0.4666666666666666,0.17460317460317454
wine,EHOA,2026,holdout,6,0.4615384615384615,0.0673680441898526,12,0.1325681000016629,0.2824077242185928,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9722222222222222,0.9761904761904764,0.974320987654321,0.9591605129565426,0.9761904761904764,0.9861111111111112,13.0,0.4545454545454546,0.07631578947368378
wine,SF-EHOA,2026,holdout,6,0.4615384615384615,0.0673680441898526,12,0.1230344999930821,0.2824077242185928,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9722222222222222,0.9761904761904764,0.974320987654321,0.9591605129565426,0.9761904761904764,0.9861111111111112,13.0,0.4545454545454546,0.07631578947368378
wine,IG-EHOA,2026,holdout,6,0.4615384615384615,0.0673680441898526,12,0.2573950000223703,0.2824077242185928,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9722222222222222,0.9761904761904764,0.974320987654321,0.9591605129565426,0.9761904761904764,0.9861111111111112,13.0,0.4666666666666666,0.17460317460317454
wine,DFA-EHOA,2026,holdout,6,0.4615384615384615,0.0673680441898526,12,0.2979906999971717,0.2824077242185928,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 8, 10, 12]",0.9722222222222222,0.9761904761904764,0.974320987654321,0.9591605129565426,0.9761904761904764,0.9861111111111112,13.0,0.4666666666666666,0.17460317460317454
