iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.07376923076923088,0.09292692307692312,0.9324786324786324,9,0.5076923076923078,0.3228282828282828,-0.015625000000000222,2.5,0.775,0,baseline,wine,DFA-EHOA,387298,outer_3
2,0.07090384615384625,0.08267692307692318,0.9322649572649572,5,0.12307692307692308,0.8194444444444443,0.74,2.0,0.65,0,baseline,wine,DFA-EHOA,387298,outer_3
3,0.07090384615384625,0.07906923076923085,0.9322649572649572,5,0.4153846153846154,0.44250360750360757,0.16903409090909094,1.2812887893356644,0.48854813155594407,1,consolidate,wine,DFA-EHOA,387298,outer_3
4,0.047480769230769194,0.07081923076923083,0.9574786324786325,7,0.3384615384615385,0.4069047619047619,0.28500000000000003,1.1406443946678322,0.444274065777972,0,explore,wine,DFA-EHOA,387298,outer_3
