iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.040479853479853584,0.9648351648351647,17,2.2143008481796995,breast_cancer,EHOA,2026
2,0.040479853479853584,0.9648351648351647,17,2.2225282621705085,breast_cancer,EHOA,2026
3,0.03930402930402942,0.9670329670329669,20,2.250500008472978,breast_cancer,EHOA,2026
4,0.03930402930402942,0.9670329670329669,20,1.9146195674814037,breast_cancer,EHOA,2026
5,0.03930402930402942,0.9670329670329669,20,1.1802131956139135,breast_cancer,EHOA,2026
6,0.038304029304029194,0.9670329670329672,17,1.5605010719148296,breast_cancer,EHOA,2026
7,0.038304029304029194,0.9670329670329672,17,0.9452712610248748,breast_cancer,EHOA,2026
8,0.038304029304029194,0.9670329670329672,17,1.2339895198831357,breast_cancer,EHOA,2026
9,0.038304029304029194,0.9670329670329672,17,1.0372626123645454,breast_cancer,EHOA,2026
10,0.03797069597069608,0.9670329670329669,16,0.999615191069914,breast_cancer,EHOA,2026
