iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.039766388783630195,0.9652709359605911,7,1.4238600162807462,wine,EHOA,123
2,0.039766388783630195,0.9652709359605911,7,2.5199517667457014,wine,EHOA,123
3,0.039766388783630195,0.9652709359605911,7,1.7597379975410372,wine,EHOA,123
4,0.039766388783630195,0.9652709359605911,7,1.9702238551859732,wine,EHOA,123
5,0.03216957180750275,0.9721674876847292,6,1.9620391053604704,wine,EHOA,123
6,0.03216957180750275,0.9721674876847292,6,1.8507727395459206,wine,EHOA,123
7,0.026111216369837174,0.9790640394088669,7,1.6090271041476276,wine,EHOA,123
8,0.026111216369837174,0.9790640394088669,7,1.1460210807175826,wine,EHOA,123
9,0.026111216369837174,0.9790640394088669,7,0.8577313902913304,wine,EHOA,123
10,0.026111216369837174,0.9790640394088669,7,0.9957229366971603,wine,EHOA,123
