iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.08198882152330432,0.09340479348237965,0.9233990147783251,8,0.48076923076923084,0.36965058750773044,0.03810580836108035,2.8,0.85,0,wine,IG-EHOA,123
2,0.07593046608563853,0.0892783251231527,0.930295566502463,9,0.20329670329670332,0.6953231292517008,0.58792032555151,2.6,0.8,0,wine,IG-EHOA,123
3,0.055729253505115525,0.0780662893141341,0.9514778325123153,10,0.17857142857142858,0.7509353741496598,0.6362658057573312,2.4,0.75,0,wine,IG-EHOA,123
4,0.04837627889352006,0.06726463622584306,0.9581280788177342,9,0.2802197802197803,0.6239138837353123,0.4180381830151416,2.2,0.7,0,wine,IG-EHOA,123
5,0.03524649488442583,0.05378071712769982,0.9721674876847292,10,0.2664835164835165,0.6778499278499278,0.4032534753031648,2.0,0.65,0,wine,IG-EHOA,123
6,0.03447726411519506,0.046043435013262524,0.9721674876847292,9,0.18681318681318682,0.7773809523809522,0.5449163449163449,1.8,0.6000000000000001,0,wine,IG-EHOA,123
7,0.03447726411519506,0.046043435013262524,0.9721674876847292,9,0.06043956043956044,0.9214285714285714,0.8527670527670528,1.6,0.55,1,wine,IG-EHOA,123
8,0.03447726411519506,0.04266483516483508,0.9721674876847292,9,0.07692307692307694,0.8999999999999998,0.8126126126126126,1.4,0.5,2,wine,IG-EHOA,123
9,0.03447726411519506,0.041023612163698306,0.9721674876847292,9,0.09340659340659344,0.8785714285714284,0.7724581724581725,1.2,0.45,3,wine,IG-EHOA,123
10,0.03447726411519506,0.041023612163698306,0.9721674876847292,9,0.06043956043956044,0.9198412698412699,0.8527670527670528,1.0,0.4,4,wine,IG-EHOA,123
