iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.02789352027283059,0.04746627510420611,0.9788177339901478,9,0.5192307692307692,0.33303571428571427,-0.03884572697003308,2.8,0.85,0,wine,IG-EHOA,3407
2,0.02789352027283059,0.041208388594164404,0.9788177339901478,9,0.32967032967032966,0.5327806122448979,0.33673469387755117,2.6,0.8,1,wine,IG-EHOA,3407
3,0.02789352027283059,0.04001023114816216,0.9788177339901478,9,0.25824175824175827,0.6062963821892394,0.4827513227513228,2.4,0.75,2,wine,IG-EHOA,3407
4,0.02789352027283059,0.03662691834028041,0.9788177339901478,9,0.3598901098901099,0.5017547928262214,0.277816061489531,2.2,0.7,3,wine,IG-EHOA,3407
5,0.02789352027283059,0.0356820291777188,0.9788177339901478,9,0.2884615384615385,0.5617488662131519,0.42286348501664817,2.0,0.65,4,wine,IG-EHOA,3407
6,0.02789352027283059,0.03432455475558921,0.9788177339901478,9,0.3241758241758242,0.5305027313955886,0.3506878306878308,1.8,0.6000000000000001,5,wine,IG-EHOA,3407
7,0.02789352027283059,0.03432455475558921,0.9788177339901478,9,0.3021978021978022,0.5672760770975056,0.39200680272108845,1.6,0.55,6,wine,IG-EHOA,3407
8,0.02789352027283059,0.03432455475558921,0.9788177339901478,9,0.2774725274725275,0.5604733560090702,0.44484963796839494,1.4,0.5,7,wine,IG-EHOA,3407
9,0.02789352027283059,0.03432455475558921,0.9788177339901478,9,0.2692307692307693,0.6184613997113997,0.45427286356821595,1.2,0.45,8,wine,IG-EHOA,3407
10,0.02789352027283059,0.034162727358848,0.9788177339901478,9,0.28846153846153844,0.5710742630385488,0.42115027829313545,1.0,0.4,9,wine,IG-EHOA,3407
