iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.03546153846153858,0.04487545787545793,0.9692307692307691,15,0.49166666666666664,0.3599425924891763,0.014956521739130313,2.8,0.85,0,breast_cancer,IG-EHOA,262147
2,0.03546153846153858,0.04085714285714296,0.9692307692307691,15,0.2761904761904762,0.540438324452588,0.4399967815906989,2.6,0.8,1,breast_cancer,IG-EHOA,262147
3,0.03546153846153858,0.039036630036630146,0.9692307692307691,15,0.3011904761904761,0.5878239204634077,0.39046548279912063,2.4,0.75,2,breast_cancer,IG-EHOA,262147
4,0.03361904761904752,0.0370911172161173,0.9714285714285715,16,0.22261904761904763,0.6693780102013763,0.5509889648134624,2.2,0.7,0,breast_cancer,IG-EHOA,262147
5,0.03361904761904752,0.03663049450549454,0.9714285714285715,16,0.18809523809523804,0.7261751332874873,0.6170006464124111,2.0,0.65,1,breast_cancer,IG-EHOA,262147
6,0.03361904761904752,0.03663049450549454,0.9714285714285715,16,0.09642857142857145,0.8466785837141874,0.8031930510139,1.8,0.6000000000000001,2,breast_cancer,IG-EHOA,262147
7,0.03361904761904752,0.035814560439560446,0.9714285714285715,16,0.14880952380952378,0.7835676067112234,0.6962855725523148,1.6,0.55,3,breast_cancer,IG-EHOA,262147
8,0.03361904761904752,0.03550091575091576,0.9714285714285715,16,0.11785714285714285,0.8231314156444077,0.7594581734614334,1.4,0.5,4,breast_cancer,IG-EHOA,262147
9,0.03361904761904752,0.03518727106227104,0.9714285714285715,16,0.07976190476190477,0.8712762297901617,0.8379440665154951,1.2,0.45,5,breast_cancer,IG-EHOA,262147
10,0.03361904761904752,0.03491529304029299,0.9714285714285715,16,0.055952380952380955,0.9084901285075434,0.8874622130436084,1.0,0.4,6,breast_cancer,IG-EHOA,262147
