iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.040479853479853584,0.9648351648351647,17,2.218668078791107,breast_cancer,EHOA,2026
2,0.040479853479853584,0.9648351648351647,17,2.2067596711830553,breast_cancer,EHOA,2026
3,0.040479853479853584,0.9648351648351647,17,2.232429224699226,breast_cancer,EHOA,2026
4,0.03797069597069608,0.9670329670329669,16,1.9725508649918821,breast_cancer,EHOA,2026
5,0.03797069597069608,0.9670329670329669,16,1.4802978631600463,breast_cancer,EHOA,2026
6,0.03797069597069608,0.9670329670329669,16,1.1381934323001361,breast_cancer,EHOA,2026
7,0.036970695970695855,0.9670329670329672,13,1.206296321422116,breast_cancer,EHOA,2026
8,0.036970695970695855,0.9670329670329672,13,1.1441233259062515,breast_cancer,EHOA,2026
