dataset,method,seed,selector_seed,fold,evaluation_protocol,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,classifier_seconds,peak_memory_mb,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,pr_auc,sensitivity,specificity,interaction_quality,jaccard_stability,nogueira_stability
breast_cancer,EHOA,447214,547217,outer_1,repeated_nested_cv,30,17,0.5666666666666667,0.03179527559055115,25,0.7667375999999422,0.350089399999888,0.7461166381835938,0.528069233441758,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 5, 6, 7, 10, 12, 15, 16, 20, 21, 22, 24, 25, 26, 27, 29]",0.9368421052631579,0.9325363948396259,0.9495798319327731,0.8650727896792519,0.9841993135282282,0.984452982081877,0.9495798319327731,0.9154929577464789,-0.5521177315843773,0.4043261326350571,0.13903061224489777
breast_cancer,IG-EHOA,447214,547217,outer_1,repeated_nested_cv,30,15,0.5,0.03376827896512931,25,2.729294900000241,0.3825584999995044,1.506784439086914,0.44938370299903374,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 5, 7, 10, 11, 12, 16, 20, 21, 23, 24, 25, 27, 29]",0.9631578947368421,0.9563853710498283,0.970954356846473,0.9211492315750531,0.9782222748254231,0.9765976393196165,0.9831932773109243,0.9295774647887324,-0.4070200517668434,0.38045322748917415,0.09961139786706263
breast_cancer,M-EHOA,447214,547217,outer_1,repeated_nested_cv,30,17,0.5666666666666667,0.02919685039370068,84,2.374780899999678,0.3194682000003013,0.6033849716186523,0.5214220099571591,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[2, 5, 6, 7, 10, 12, 13, 15, 16, 20, 21, 22, 24, 25, 26, 27, 29]",0.9473684210526315,0.9437803290330217,0.957983193277311,0.8875606580660433,0.9860930287608001,0.9855919998717608,0.957983193277311,0.9295774647887324,-0.5363211460644814,0.3667876277485723,0.1264417400781035
breast_cancer,P-EHOA,447214,547217,outer_1,repeated_nested_cv,30,15,0.5,0.03376827896512931,25,3.7553971999996065,0.33913769999981014,1.3983869552612305,0.44938370299903374,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 5, 7, 10, 11, 12, 16, 20, 21, 23, 24, 25, 27, 29]",0.9631578947368421,0.9563853710498283,0.970954356846473,0.9211492315750531,0.9782222748254231,0.9765976393196165,0.9831932773109243,0.9295774647887324,-0.4070200517668434,0.38045322748917415,0.09961139786706263
breast_cancer,EHOA,447214,647220,outer_2,repeated_nested_cv,30,15,0.5,0.03636670416197966,25,0.8699663000006694,0.3010000000003856,0.6637067794799805,0.38602075250505297,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 1, 3, 4, 5, 7, 9, 15, 17, 18, 20, 21, 24, 27, 29]",0.9526315789473684,0.9451414368564327,0.9626556016597511,0.8984549429340701,0.9756775949816546,0.9752618932461026,0.9747899159663865,0.9154929577464789,-0.3986245368142139,0.4043261326350571,0.13903061224489777
breast_cancer,IG-EHOA,447214,647220,outer_2,repeated_nested_cv,30,13,0.43333333333333335,0.03574128233970747,25,4.413922799999455,0.2642421000000468,1.5316057205200195,0.39446750040821044,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 1, 3, 6, 12, 14, 16, 17, 19, 20, 24, 27, 29]",0.9631578947368421,0.9563853710498283,0.970954356846473,0.9211492315750531,0.9959166765297668,0.9961435333535535,0.9831932773109243,0.9295774647887324,-0.29381734209020355,0.38045322748917415,0.09961139786706263
breast_cancer,M-EHOA,447214,647220,outer_2,repeated_nested_cv,30,15,0.5,0.028530183727034013,84,2.9729667000001427,0.2866617999998198,1.012944221496582,0.3686898262956281,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 1, 3, 4, 5, 9, 15, 16, 17, 18, 20, 21, 24, 27, 29]",0.9315789473684211,0.9198129956207834,0.9465020576131687,0.8531113475927138,0.9728962007338147,0.9732102782914864,0.9663865546218487,0.8732394366197183,-0.38987668044068324,0.3667876277485723,0.1264417400781035
breast_cancer,P-EHOA,447214,647220,outer_2,repeated_nested_cv,30,13,0.43333333333333335,0.03574128233970747,25,2.799897400000191,0.33124899999984336,1.471379280090332,0.39446750040821044,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 1, 3, 6, 12, 14, 16, 17, 19, 20, 24, 27, 29]",0.9631578947368421,0.9563853710498283,0.970954356846473,0.9211492315750531,0.9959166765297668,0.9961435333535535,0.9831932773109243,0.9295774647887324,-0.29381734209020355,0.38045322748917415,0.09961139786706263
breast_cancer,EHOA,447214,747223,outer_3,repeated_nested_cv,30,13,0.43333333333333335,0.030379452568428854,23,0.855032200000096,0.2873018999998749,0.8744001388549805,0.40497658597523484,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 4, 5, 9, 12, 16, 19, 21, 23, 24, 25, 27]",0.9365079365079365,0.9348739495798319,0.9491525423728814,0.8648817040445186,0.9747899159663865,0.9746472601729843,0.9411764705882353,0.9285714285714286,-0.24765737643985494,0.4043261326350571,0.13903061224489777
breast_cancer,IG-EHOA,447214,747223,outer_3,repeated_nested_cv,30,13,0.43333333333333335,0.030379452568428854,23,2.5014899000007063,0.26959790000000794,1.362391471862793,0.40497658597523484,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 4, 5, 9, 12, 16, 19, 21, 23, 24, 25, 27]",0.9365079365079365,0.9348739495798319,0.9491525423728814,0.8648817040445186,0.9747899159663865,0.9746472601729843,0.9411764705882353,0.9285714285714286,-0.24765737643985494,0.38045322748917415,0.09961139786706263
breast_cancer,M-EHOA,447214,747223,outer_3,repeated_nested_cv,30,11,0.36666666666666664,0.021917510311211016,80,2.7416924000008294,0.29829789999985223,1.0181636810302734,0.3760355201100052,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 4, 5, 12, 16, 19, 21, 23, 24, 25]",0.9417989417989417,0.9420168067226891,0.9531914893617022,0.8768006325531494,0.9790516206482593,0.9813596731598091,0.9411764705882353,0.9428571428571428,-0.14217804852317914,0.3667876277485723,0.1264417400781035
breast_cancer,P-EHOA,447214,747223,outer_3,repeated_nested_cv,30,13,0.43333333333333335,0.030379452568428854,23,2.2001993000003495,0.2539010000000417,1.464858055114746,0.40497658597523484,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 4, 5, 9, 12, 16, 19, 21, 23, 24, 25, 27]",0.9365079365079365,0.9348739495798319,0.9491525423728814,0.8648817040445186,0.9747899159663865,0.9746472601729843,0.9411764705882353,0.9285714285714286,-0.24765737643985494,0.38045322748917415,0.09961139786706263
breast_cancer,EHOA,458258,558261,outer_1,repeated_nested_cv,30,16,0.5333333333333333,0.049815898012748404,24,0.6742888999997376,0.2658860999999888,0.6537542343139648,0.43697065763227333,"{""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""weight_schedule"": ""adaptive""}","[0, 2, 5, 6, 7, 10, 11, 12, 16, 18, 19, 20, 21, 23, 27, 29]",0.9736842105263158,0.9676293052432241,0.979253112033195,0.943843520216036,0.9747899159663865,0.9710666374794567,0.9915966386554622,0.9436619718309859,-0.4071567083729247,0.4043261326350571,0.13903061224489777
