iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,portfolio_strategy,dataset,method,seed,fold
1,0.040346153846153844,0.9662393162393162,9,2.803016503725796,1,memetic,wine,SP-EHOA,519615,outer_2
2,0.031326923076923106,0.9745726495726496,8,1.5271491159084951,1,memetic,wine,SP-EHOA,519615,outer_2
3,0.0226538461538461,0.9833333333333334,8,1.0925818514882073,1,memetic,wine,SP-EHOA,519615,outer_2
4,0.0226538461538461,0.9833333333333334,8,1.0083016909838243,1,memetic,wine,SP-EHOA,519615,outer_2
