iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.037304029304029415,0.9670329670329669,14,0.5095238095238096,0.3265643557131788,-0.01904761904761898,2.75,0.8375,0,breast_cancer,IG-EHOA,42
2,0.037304029304029415,0.9670329670329669,14,0.21071428571428572,0.6365544024627396,0.5761874831642273,2.5,0.775,1,breast_cancer,IG-EHOA,42
3,0.037304029304029415,0.9670329670329669,14,0.2773809523809524,0.5935954263475031,0.445199567430278,2.25,0.7125,2,breast_cancer,IG-EHOA,42
4,0.037304029304029415,0.9670329670329669,14,0.28214285714285714,0.5606824577483722,0.43536138658089873,2.0,0.65,3,breast_cancer,IG-EHOA,42
5,0.037304029304029415,0.9670329670329669,14,0.2523809523809524,0.5668034926521216,0.488272921108742,1.75,0.5875,4,breast_cancer,IG-EHOA,42
6,0.037304029304029415,0.9670329670329669,14,0.21666666666666665,0.6615323102925382,0.5661846496106786,1.5,0.525,5,breast_cancer,IG-EHOA,42
7,0.037304029304029415,0.9670329670329669,14,0.20595238095238094,0.6441483391602256,0.5866888320375883,1.25,0.4625,6,breast_cancer,IG-EHOA,42
8,0.037304029304029415,0.9670329670329669,14,0.15952380952380948,0.708970737417774,0.6787212787212789,1.0,0.4,7,breast_cancer,IG-EHOA,42
