iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.054326923076923016,0.06316538461538461,0.9497863247863249,6,0.5076923076923078,0.36863636363636365,-0.021428571428571574,2.5,0.775,0,baseline,wine,IG-EHOA,469042,outer_2
2,0.038384615384615385,0.050384615384615396,0.9666666666666667,7,0.2615384615384616,0.5777777777777777,0.47580645161290325,2.0,0.65,0,baseline,wine,IG-EHOA,469042,outer_2
3,0.038384615384615385,0.04515384615384617,0.9666666666666667,7,0.2615384615384616,0.6450757575757575,0.4666988416988418,1.5,0.525,1,baseline,wine,IG-EHOA,469042,outer_2
4,0.038384615384615385,0.04023076923076922,0.9666666666666667,7,0.15384615384615385,0.8,0.6886973180076628,1.0,0.4,2,baseline,wine,IG-EHOA,469042,outer_2
