iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.03859615384615384,0.05055384615384619,0.9664529914529915,7,0.46153846153846156,0.3911363636363636,0.07495256166982922,2.5,0.775,0,baseline,wine,SF-EHOA,424264,outer_3
2,0.03782692307692307,0.04363076923076925,0.9664529914529915,6,0.21538461538461537,0.6708333333333333,0.5683111954459202,2.0,0.65,0,baseline,wine,SF-EHOA,424264,outer_3
3,0.03782692307692307,0.043476923076923094,0.9664529914529915,6,0.10769230769230768,0.8160714285714287,0.7845643939393939,1.5505414117132865,0.5334235686188812,1,explore,wine,SF-EHOA,424264,outer_3
4,0.03782692307692307,0.043476923076923094,0.9664529914529915,6,0.09230769230769229,0.8446428571428571,0.8149905123339658,1.2884935200443532,0.4700174878563681,2,explore,wine,SF-EHOA,424264,outer_3
