iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,portfolio_strategy,dataset,method,seed,fold
1,0.039365384615384615,0.9664529914529915,8,2.324788809880185,2,memetic,wine,SP-EHOA,500000,outer_2
2,0.039365384615384615,0.9664529914529915,8,1.9808903118289414,2,memetic,wine,SP-EHOA,500000,outer_2
3,0.039365384615384615,0.9664529914529915,8,2.5772908537074786,2,memetic,wine,SP-EHOA,500000,outer_2
4,0.039365384615384615,0.9664529914529915,8,1.7881662194954275,2,memetic,wine,SP-EHOA,500000,outer_2
