iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.037304029304029415,0.9670329670329669,14,0.5095238095238096,0.3265643557131788,-0.01904761904761898,2.75,0.8375,0,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
2,0.037304029304029415,0.9670329670329669,14,0.21071428571428572,0.6365544024627396,0.5761874831642273,2.5,0.775,1,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
3,0.037304029304029415,0.9670329670329669,14,0.2773809523809524,0.5935954263475031,0.445199567430278,3.0,0.7983069426117555,2,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
4,0.037304029304029415,0.9670329670329669,14,0.330952380952381,0.4902589355553609,0.33643632891753195,2.9198663324979113,0.7766367628681167,3,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
5,0.037304029304029415,0.9670329670329669,14,0.23928571428571432,0.5761168924384867,0.5116272006641223,2.7332473360455682,0.7389704056907173,4,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
6,0.037304029304029415,0.9670329670329669,14,0.2678571428571429,0.6122188553668468,0.46125527520876364,2.5076870154233406,0.6971624274121181,5,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
7,0.03697069597069608,0.9670329670329669,13,0.1928571428571429,0.6535325533722262,0.6115884115884116,2.2280942569624194,0.6496813635562089,0,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
8,0.035128205128205026,0.9692307692307693,14,0.3023809523809523,0.5508947558289664,0.39507005914341287,1.759433677654922,0.5611873190715325,0,breast_cancer,DFA-EHOA[lambda_interaction=0.25],42
