iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.040479853479853584,0.9648351648351647,17,2.2072773379373274,breast_cancer,EHOA,2026
2,0.040479853479853584,0.9648351648351647,17,2.235530681859417,breast_cancer,EHOA,2026
3,0.040479853479853584,0.9648351648351647,17,2.2184606700841125,breast_cancer,EHOA,2026
4,0.040479853479853584,0.9648351648351647,17,2.014954313637094,breast_cancer,EHOA,2026
5,0.03863736263736275,0.9670329670329669,18,1.903554395516976,breast_cancer,EHOA,2026
6,0.03863736263736275,0.9670329670329669,18,1.7128352171997774,breast_cancer,EHOA,2026
7,0.038304029304029416,0.9670329670329669,17,1.0320660725021022,breast_cancer,EHOA,2026
8,0.038304029304029416,0.9670329670329669,17,1.0273810646649781,breast_cancer,EHOA,2026
9,0.038304029304029416,0.9670329670329669,17,0.5997590178149379,breast_cancer,EHOA,2026
10,0.038304029304029416,0.9670329670329669,17,0.9005945489420247,breast_cancer,EHOA,2026
11,0.03797069597069608,0.9670329670329669,16,1.069306056111084,breast_cancer,EHOA,2026
12,0.03797069597069608,0.9670329670329669,16,0.5059414124816428,breast_cancer,EHOA,2026
13,0.03797069597069608,0.9670329670329669,16,0.6220318057889377,breast_cancer,EHOA,2026
14,0.03646153846153858,0.9692307692307691,18,0.8166115851621639,breast_cancer,EHOA,2026
15,0.03646153846153858,0.9692307692307691,18,0.6425537192839976,breast_cancer,EHOA,2026
16,0.03646153846153858,0.9692307692307691,18,0.4748153837395433,breast_cancer,EHOA,2026
