iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.038637362637362525,0.04610805860805866,0.9670329670329672,18,0.4952380952380952,0.3583618083483236,0.007041413056450563,2.8,0.85,0,breast_cancer,IG-EHOA,123
2,0.038637362637362525,0.04575274725274728,0.9670329670329672,18,0.26071428571428573,0.6118181004459199,0.47562180120319664,2.6,0.8,1,breast_cancer,IG-EHOA,123
3,0.03579487179487169,0.04282463369963371,0.9692307692307693,16,0.42499999999999993,0.4434548582705659,0.1451917033312382,2.4,0.75,0,breast_cancer,IG-EHOA,123
4,0.031109890109890022,0.03857600732600727,0.9736263736263737,15,0.38928571428571435,0.43780106973792926,0.2213745002133084,2.2,0.7,0,breast_cancer,IG-EHOA,123
5,0.02960073260073252,0.03522893772893768,0.9758241758241759,17,0.2785714285714286,0.6052106863479044,0.43516916763889457,2.0,0.65,0,breast_cancer,IG-EHOA,123
6,0.02960073260073252,0.03430769230769221,0.9758241758241759,17,0.26666666666666666,0.6216266279759252,0.4593072373979161,1.8,0.6000000000000001,1,breast_cancer,IG-EHOA,123
7,0.02960073260073252,0.031609890109890015,0.9758241758241759,17,0.23214285714285718,0.6751994656471563,0.523775604693049,1.6,0.55,2,breast_cancer,IG-EHOA,123
8,0.02926739926739919,0.03148489010989002,0.9758241758241759,16,0.14761904761904762,0.7718820861678004,0.7006879349881321,1.4,0.5,0,breast_cancer,IG-EHOA,123
9,0.02926739926739919,0.030982600732600646,0.9758241758241759,16,0.13333333333333336,0.7864984151555359,0.7314685314685314,1.2,0.45,1,breast_cancer,IG-EHOA,123
10,0.02926739926739919,0.03089926739926731,0.9758241758241759,16,0.07857142857142858,0.861344537815126,0.8424633011099176,1.0,0.4,2,breast_cancer,IG-EHOA,123
