iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,portfolio_strategy,dataset,method,seed,fold
1,0.058563554555680665,0.06325976752905896,0.9445485980919051,11,0.49333333333333335,0.3490914158305462,0.012631204412026142,2.5,0.775,0,baseline,interaction,breast_cancer,P-EHOA,458258,outer_2
2,0.052060367454068245,0.05648451443569559,0.952464275298921,15,0.2533333333333333,0.5735745614035087,0.4918880370832591,2.0,0.65,0,baseline,interaction,breast_cancer,P-EHOA,458258,outer_2
3,0.05170641169853773,0.054064191976003026,0.9524851060284131,14,0.3866666666666666,0.47024367794676725,0.2244606881797111,1.5,0.525,0,baseline,interaction,breast_cancer,P-EHOA,458258,outer_2
4,0.0507476565429321,0.052367679040119984,0.9524434445694289,11,0.18,0.7048688510491916,0.6397438178260095,1.0,0.4,0,baseline,interaction,breast_cancer,P-EHOA,458258,outer_2
