iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.038637362637362525,0.9670329670329672,18,0.4952380952380952,0.3583618083483236,0.007041413056450563,2.75,0.8375,0,breast_cancer,DFA-EHOA[bootstrap_count=8],123
2,0.038637362637362525,0.9670329670329672,18,0.26071428571428573,0.6118181004459199,0.47562180120319664,2.5,0.775,1,breast_cancer,DFA-EHOA[bootstrap_count=8],123
3,0.03395238095238086,0.9714285714285715,17,0.42738095238095236,0.4472705288155598,0.13799485758306407,3.0,0.8101873547233867,0,breast_cancer,DFA-EHOA[bootstrap_count=8],123
4,0.03177655677655669,0.9736263736263737,17,0.4238095238095238,0.39021762517155806,0.1502565938656164,2.827886382623225,0.7710794751895964,0,breast_cancer,DFA-EHOA[bootstrap_count=8],123
5,0.03177655677655669,0.9736263736263737,17,0.21666666666666665,0.6896661944716866,0.5566922421142371,2.523872858830794,0.712851118668967,1,breast_cancer,DFA-EHOA[bootstrap_count=8],123
6,0.03177655677655669,0.9736263736263737,17,0.13333333333333336,0.8024210720971003,0.7240586375395228,2.2393710370612725,0.6568313272754627,2,breast_cancer,DFA-EHOA[bootstrap_count=8],123
7,0.03144322344322335,0.9736263736263737,16,0.10238095238095239,0.8393391567153177,0.7893877551020408,1.9651617090068267,0.6037609017329695,0,breast_cancer,DFA-EHOA[bootstrap_count=8],123
8,0.03144322344322335,0.9736263736263737,16,0.07261904761904762,0.8823252985404688,0.8517873594055296,1.593994257083636,0.5297338015115405,1,breast_cancer,DFA-EHOA[bootstrap_count=8],123
