iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.05208098987626543,0.05853243344581931,0.9524434445694289,15,0.5199999999999999,0.35705476005476006,-0.0519690703110951,2.5,0.775,0,baseline,breast_cancer,IG-EHOA,489898,outer_2
2,0.05141432320959876,0.05585909261342335,0.9524434445694289,13,0.27999999999999997,0.5456773618538324,0.43749999999999967,2.0,0.65,0,baseline,breast_cancer,IG-EHOA,489898,outer_2
3,0.05141432320959876,0.05526449193850774,0.9524434445694289,13,0.20666666666666664,0.6920633352155091,0.5863725315780111,1.5,0.525,1,baseline,breast_cancer,IG-EHOA,489898,outer_2
4,0.05141432320959876,0.05519782527184107,0.9524434445694289,13,0.16000000000000003,0.7164133986928105,0.6779388083735911,1.0,0.4,2,baseline,breast_cancer,IG-EHOA,489898,outer_2
