iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,portfolio_strategy,dataset,method,seed,fold
1,0.07124999999999987,0.9326923076923078,6,1.8170968026120802,2,memetic,wine,SP-EHOA,500000,outer_1
2,0.07124999999999987,0.9326923076923078,6,0.8462693626181164,2,memetic,wine,SP-EHOA,500000,outer_1
3,0.07124999999999987,0.9326923076923078,6,1.2413011468662583,2,memetic,wine,SP-EHOA,500000,outer_1
4,0.07124999999999987,0.9326923076923078,6,0.4942443741429417,2,memetic,wine,SP-EHOA,500000,outer_1
