iteration,fitness,cv_accuracy,selected_features,population_diversity,portfolio_strategy,dataset,method,seed,fold
1,0.040652418447693975,0.9656709577969421,20,2.4892621374832937,baseline,breast_cancer,SP-EHOA,500000,outer_1
2,0.0377000374953131,0.9683164604424447,19,3.2908089313809787,baseline,breast_cancer,SP-EHOA,500000,outer_1
3,0.0377000374953131,0.9683164604424447,19,3.2794303807234555,baseline,breast_cancer,SP-EHOA,500000,outer_1
4,0.034747656542932014,0.9709619630879475,18,2.320448552262318,baseline,breast_cancer,SP-EHOA,500000,outer_1
