iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.045340659340659416,0.05289239926739932,0.9582417582417582,12,0.5047619047619046,0.33701165430407015,-0.009804310721232001,2.8,0.85,0,breast_cancer,IG-EHOA,7919
2,0.045340659340659416,0.05096657509157515,0.9582417582417582,12,0.14166666666666666,0.6845957613814758,0.6964059825879902,2.6,0.8,1,breast_cancer,IG-EHOA,7919
3,0.045340659340659416,0.04851877289377296,0.9582417582417582,12,0.31904761904761897,0.46436675729377586,0.33531746031746035,2.4,0.75,2,breast_cancer,IG-EHOA,7919
4,0.04383150183150192,0.04709523809523817,0.9604395604395604,14,0.21547619047619046,0.603446657002882,0.5579660740997019,2.2,0.7,0,breast_cancer,IG-EHOA,7919
5,0.04349816849816858,0.04604899267399275,0.9604395604395604,13,0.24285714285714285,0.5924524833856987,0.5093795093795095,2.0,0.65,0,breast_cancer,IG-EHOA,7919
6,0.04349816849816858,0.0458186813186814,0.9604395604395604,13,0.22976190476190475,0.6116439119507452,0.5365821936310067,1.8,0.6000000000000001,1,breast_cancer,IG-EHOA,7919
7,0.04349816849816858,0.04571336996337004,0.9604395604395604,13,0.15357142857142855,0.7268064901399155,0.6911196911196912,1.6,0.55,2,breast_cancer,IG-EHOA,7919
8,0.04349816849816858,0.045399725274725355,0.9604395604395604,13,0.1880952380952381,0.6795480730430998,0.6221301020408163,1.4,0.5,3,breast_cancer,IG-EHOA,7919
9,0.04349816849816858,0.045044413919413995,0.9604395604395604,13,0.17142857142857143,0.7041084854994629,0.6547452547452548,1.2,0.45,4,breast_cancer,IG-EHOA,7919
10,0.04349816849816858,0.045044413919413995,0.9604395604395604,13,0.16904761904761909,0.70671768707483,0.6595404595404597,1.0,0.4,5,breast_cancer,IG-EHOA,7919
