iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,portfolio_strategy,dataset,method,seed,fold
1,0.04353655793025874,0.04984416947881518,0.9604007832354289,13,0.5266666666666666,0.3476531117835465,-0.06011808910359617,2.5,0.775,0,baseline,interaction,breast_cancer,P-EHOA,479583,outer_1
2,0.04353655793025874,0.04864799400074993,0.9604007832354289,13,0.25333333333333335,0.5852291267384147,0.4918880370832591,2.0,0.65,1,baseline,interaction,breast_cancer,P-EHOA,479583,outer_1
3,0.0419175103112111,0.04675688038995126,0.9630462858809316,16,0.21333333333333332,0.658453732370141,0.5730297100160113,1.5,0.525,0,baseline,interaction,breast_cancer,P-EHOA,479583,outer_1
4,0.041584176977877765,0.04447814023247091,0.9630462858809316,15,0.2,0.6747626418988648,0.5999288762446658,1.0,0.4,0,baseline,interaction,breast_cancer,P-EHOA,479583,outer_1
