dataset,method,seed,fold,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,sensitivity,specificity,jaccard_stability,nogueira_stability
breast_cancer,IG-EHOA,2026,holdout,30,13,0.43333333333333335,0.036970695970695855,62,1.0685460999957286,0.43411542999787656,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 4, 6, 10, 12, 15, 16, 20, 21, 22, 27, 28]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.35374941364105456,0.14153343023255793
breast_cancer,DFA-EHOA,2026,holdout,30,15,0.5,0.028934065934065854,58,1.6155495999846607,0.48739841128598255,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[3, 4, 6, 10, 12, 13, 16, 20, 21, 22, 24, 25, 26, 27, 29]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.33220167513645776,0.03726154394722725
breast_cancer,EHOA,3407,holdout,30,11,0.36666666666666664,0.034128205128205025,65,1.3083787999930792,0.4536125060488737,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 6, 10, 11, 12, 15, 20, 21, 25, 27]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.3645284780578898,0.15837104072398178
breast_cancer,SF-EHOA,3407,holdout,30,15,0.5,0.04198901098901108,56,1.0426560000050813,0.48030264853824606,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 6, 8, 12, 15, 16, 20, 21, 22, 23, 25, 26, 27, 29]",0.9736842105263158,0.9742063492063492,0.9790209790209791,0.9438975339262832,0.9722222222222222,0.9761904761904762,0.3565138649806842,0.05265966909802511
breast_cancer,IG-EHOA,3407,holdout,30,13,0.43333333333333335,0.03697069597069608,72,1.8220214999746531,0.39466566853341856,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 3, 6, 7, 8, 11, 16, 17, 18, 20, 21, 22, 27]",0.9824561403508771,0.9811507936507937,0.9861111111111112,0.9623015873015873,0.9861111111111112,0.9761904761904762,0.35374941364105456,0.14153343023255793
breast_cancer,DFA-EHOA,3407,holdout,30,14,0.4666666666666667,0.035128205128205026,63,2.831362699973397,0.3980157337715884,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 3, 4, 6, 7, 8, 11, 15, 17, 19, 20, 21, 22, 27]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.33220167513645776,0.03726154394722725
breast_cancer,EHOA,8675309,holdout,30,13,0.43333333333333335,0.03261904761904752,50,1.1591455999878235,0.4606816897440527,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 4, 7, 12, 16, 20, 21, 22, 23, 25, 27, 28, 29]",0.956140350877193,0.9503968253968254,0.9655172413793104,0.9054466190452621,0.9722222222222222,0.9285714285714286,0.3645284780578898,0.15837104072398178
breast_cancer,SF-EHOA,8675309,holdout,30,13,0.43333333333333335,0.03261904761904752,53,1.3067344999872148,0.4857262825735202,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 7, 10, 12, 16, 20, 21, 22, 23, 25, 27, 28, 29]",0.9385964912280702,0.9265873015873016,0.9523809523809523,0.8674927968252835,0.9722222222222222,0.8809523809523809,0.3565138649806842,0.05265966909802511
breast_cancer,IG-EHOA,8675309,holdout,30,11,0.36666666666666664,0.034128205128205025,56,1.3789609000086784,0.32708186747668366,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 3, 6, 8, 10, 11, 18, 19, 20, 21, 22]",0.9298245614035088,0.9196428571428572,0.9452054794520548,0.8483105513347052,0.9583333333333334,0.8809523809523809,0.35374941364105456,0.14153343023255793
breast_cancer,DFA-EHOA,8675309,holdout,30,13,0.43333333333333335,0.030443223443223356,61,1.1554213000345044,0.34684855213644017,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 6, 8, 10, 11, 16, 18, 19, 20, 21, 22, 27]",0.9298245614035088,0.9246031746031746,0.9444444444444444,0.8492063492063492,0.9444444444444444,0.9047619047619048,0.33220167513645776,0.03726154394722725
wine,EHOA,42,holdout,13,6,0.46153846153846156,0.025829670329670262,60,0.804514300019946,0.31651574236646124,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 6, 9, 10, 12]",0.9722222222222222,0.9761904761904763,0.974320987654321,0.9591605129565426,0.9761904761904763,0.9861111111111112,0.44682539682539685,0.19981060606060608
wine,SF-EHOA,42,holdout,13,7,0.5384615384615384,0.026598901098901027,62,1.0818622999940999,0.33593795909746144,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 6, 9, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,0.4113888888888889,0.1382575757575757
wine,IG-EHOA,42,holdout,13,6,0.46153846153846156,0.025829670329670262,60,0.9793704000185244,0.31651574236646124,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 6, 9, 10, 12]",0.9722222222222222,0.9761904761904763,0.974320987654321,0.9591605129565426,0.9761904761904763,0.9861111111111112,0.4186832611832612,0.13662239089184047
wine,DFA-EHOA,42,holdout,13,7,0.5384615384615384,0.026598901098901027,63,0.9243909000069834,0.33593795909746144,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 5, 6, 9, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,0.4567171717171717,0.19829222011385195
wine,EHOA,123,holdout,13,7,0.5384615384615384,0.026111216369837174,33,0.4453673000098206,0.29748267074361984,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 6, 8, 9, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,0.44682539682539685,0.19981060606060608
wine,SF-EHOA,123,holdout,13,6,0.46153846153846156,0.03216957180750275,36,0.5324489999911748,0.29443244548700487,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 6, 8, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,0.4113888888888889,0.1382575757575757
wine,IG-EHOA,123,holdout,13,5,0.38461538461538464,0.03822792724516866,58,1.1854941000347026,0.2753730026295296,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 9, 10, 11]",0.9444444444444444,0.9484126984126985,0.9484126984126985,0.9158878504672897,0.9484126984126985,0.970959595959596,0.4186832611832612,0.13662239089184047
